41	44	1
41	25	0
44	41	0
44	5	1
25	41	1
40	23	1
40	32	0
23	40	0
23	32	1
23	16	0
32	40	1
32	23	0
39	12	1
39	42	0
12	39	0
12	42	1
42	39	1
42	12	0
30	37	1
30	29	0
37	30	0
37	38	1
37	5	0
34	33	1
34	27	0
33	34	0
33	35	0
33	38	1
35	33	1
35	45	0
35	11	1
38	37	0
38	33	0
38	3	0
38	10	1
5	44	0
5	37	1
3	38	1
3	4	0
16	23	1
2	8	1
2	22	0
8	2	0
8	46	0
18	13	1
13	18	0
46	8	1
46	28	0
46	31	1
17	9	1
9	17	0
9	21	0
28	46	1
31	46	0
31	43	1
20	1	1
1	20	0
1	7	1
19	36	1
36	19	0
29	30	1
43	31	0
21	9	1
7	1	0
45	35	1
45	26	0
11	35	0
22	2	1
10	38	0
4	3	1
4	24	0
24	4	1
26	45	1
27	34	1
